source_doc_id,date,sentence,found_term,accompanying_terms
1000,2014-05-19 00:05:00,"I would like to express my gratitude to our Chinese friends for cherishing the memory of thousands of our compatriots, who sacrificed their lives to liberate Northeast China from invaders.",china,['northeast']
1001,2014-05-20 09:30:00,"Mr President, our Chinese friends, In an atmosphere of trust and friendship, we have just had an exchange of views on the development of bilateral relations and international issues.",chinese,[]
1001,2014-05-20 09:30:00,China is firmly occupying the position of our leading trade partner.,china,[]
1001,2014-05-20 09:30:00,The first Russian-Chinese EXPO to be held this summer in Harbin is to serve this very goal.,chinese,['russian']
1001,2014-05-20 09:30:00,"We also invite our Chinese friends to become our partner nation at INNOPROM 2015, the major international industrial trade fair in Russia, to be held in Yekaterinburg in July 2015.",chinese,[]
1001,2014-05-20 09:30:00,"2012 was the year of Russian Tourism in China, and 2013 – the Year of Chinese Tourism in Russia.",china,[]
1001,2014-05-20 09:30:00,Progress is being made on the program to establish a branch of Moscow State University in the Chinese city of Shenzhen.,chinese,[]
1001,2014-05-20 09:30:00,"Mr President, my friend, you and I have said on numerous occasions that Russian-Chinese cooperation has become an important factor of international stability.",chinese,['russian']
1002,2014-05-20 10:30:00,"President Xi Jinping, ladies and gentlemen, friends, Today in a traditionally friendly and business-like atmosphere, we have covered a broad agenda of Russian-Chinese cooperation and set ourselves ambitious goals and established long-term milestones.",chinese,['russian']
1002,2014-05-20 10:30:00,Relations between Russia and the People’s Republic of China are developing successfully and have reached a new level of comprehensive partnership and strategic cooperation.,china,[]
1002,2014-05-20 10:30:00,China is Russia’s leading foreign trade partner.,china,[]
1002,2014-05-20 10:30:00,A Russian-Chinese Investment Committee has been set up to continue efforts to expand mutual investment.,chinese,['russian']
1002,2014-05-20 10:30:00,"A number of Russian regions, including such metropolitan cities as Moscow and St Petersburg, as well as the Volga Region and others, are cooperating directly with partners in China.",china,[]
1002,2014-05-20 10:30:00,We also resolved to create a Russian-Chinese University on the basis of Moscow State University and Beijing University of Technology.,chinese,['russian']
1002,2014-05-20 10:30:00,Mr President has already said that the historical memory of the great heroism of our peoples in World War II brings Russia and China even closer.,china,[]
1002,2014-05-20 10:30:00,I will note that the positions of Russia and China largely coincide.,china,[]
1002,2014-05-20 10:30:00,I am grateful to the President of China and to all our Chinese friends and partners for a very constructive meeting held today and earlier as we prepared the visit.,china,[]
1002,2014-05-20 10:30:00,Thank you for the invitation to visit the People’s Republic of China and to attend the coming events.,china,[]
1003,2014-05-20 13:00:00,"I want to say that the work you started, building Russian-Chinese relations, is now in safe hands.",chinese,['russian']
1003,2014-05-20 13:00:00,"Today, we do not have a single problem with China that might burden our relations.",china,[]
1003,2014-05-20 13:00:00,Both the previous leadership of the People’s Republic of China and President Xi Jinping and his entire team are doing a great deal to further expand our interstate relations.,china,[]
1004,2014-05-20 18:40:00,"As you know, Mongolia is a nation that lies entirely between Russia and China.",china,[]
1007,2014-05-21 09:30:00,We are grateful to President of the People’s Republic of China Xi Jinping     Xi JinpingPresident of People's Republic of China  for the summit’s excellent organisation and for the warmth and hospitality we have received.,china,[]
1007,2014-05-21 09:30:00,"I am sure that under the proactive Chinese Presidency in 2014–2016, CICA will continue to generate and successfully implement constructive ideas for bolstering confidence and interaction in Asia.",chinese,[]
1009,2014-05-21 15:40:00,Let me say a few words first about Russia and China’s bilateral relations.,china,[]
1009,2014-05-21 15:40:00,"There are plenty of visits, but yesterday’s visit and its practical continuation today were very big events in bilateral relations between the People’s Republic of China and the Russian Federation, and produced many concrete agreements that reflect our increased political cooperation too.",china,[]
1009,2014-05-21 15:40:00,Our Chinese friends drive a hard bargain as negotiators.,chinese,[]
1009,2014-05-21 15:40:00,"The relevant decisions still need to be adopted at government level in both the People’s Republic of China and the Russian Federation, but the deal has been done now.",china,[]
1009,2014-05-21 15:40:00,"It is hard to give an exact figure, but I think we will see at least $20 billion in investment from China too.",china,[]
